Galar Pokedex Number,Pokemon,Ability I,Ability II,Hidden Ability,Type I,Type II,HP,Atk,Def,SpAtk,SpDef,Speed,Weight_kg,Height_m,Weight_lbs,Height_ft,Cap_Rate,Egg_Steps,Classification
1,Grookey,Overgrow,NaN,Grassy Surge,grass,NaN,50,65,50,40,40,65,5.0,0.3,11.0,1.0,45.0,5120.0,Chimp Pokémon
2,Thwackey,Overgrow,NaN,Grassy Surge,grass,NaN,70,85,70,55,60,80,14.0,0.7,30.9,2.333,45.0,5120.0,Beat Pokémon
3,Rillaboom,Overgrow,NaN,Grassy Surge,grass,NaN,100,125,90,60,70,85,90.0,2.1,198.4,6.917,45.0,5120.0,Drummer Pokémon
4,Scorbunny,Blaze,NaN,Libero,fire,NaN,50,71,40,40,40,69,4.5,0.3,9.9,1.0,45.0,5120.0,Rabbit Pokémon
5,Raboot,Blaze,NaN,Libero,fire,NaN,65,86,60,55,60,94,9.0,0.6,19.8,2.0,45.0,5120.0,Rabbit Pokémon
6,Cinderace,Blaze,NaN,Libero,fire,NaN,80,116,75,65,75,119,33.0,1.4,72.8,4.583,45.0,5120.0,Striker Pokémon
7,Sobble,Torrent,NaN,Sniper,water,NaN,50,40,40,70,40,70,4.0,0.3,8.8,1.0,45.0,5120.0,Water Lizard Pokémon
8,Drizzile,Torrent,NaN,Sniper,water,NaN,65,60,55,95,55,90,11.5,0.7,25.4,2.333,45.0,5120.0,Water Lizard Pokémon
9,Inteleon,Torrent,NaN,Sniper,water,NaN,70,85,65,125,65,120,45.2,1.9,99.6,6.25,45.0,5120.0,Secret Agent Pokémon
10,Blipbug,Swarm,Compoundeyes,Telepathy,bug,NaN,25,20,20,25,45,45,8.0,0.4,17.6,1.333,255.0,3840.0,Larva Pokémon
11,Dottler,Swarm,Compoundeyes,Telepathy,bug,psychic,50,35,80,50,90,30,19.5,0.4,43.0,1.333,120.0,3840.0,Radome Pokémon
12,Orbeetle,Swarm,Frisk,Telepathy,bug,psychic,60,45,110,80,120,90,40.8,0.4,89.9,1.333,45.0,3840.0,Seven Spot Pokémon
13,Caterpie,Shield Dust,NaN,Run Away,bug,NaN,45,30,35,20,20,45,2.9,0.3,6.4,1.0,255.0,3840.0,Worm Pokémon
14,Metapod,Shed Skin,NaN,NaN,bug,NaN,50,20,55,25,25,30,9.9,0.7,21.8,2.333,120.0,3840.0,Cocoon Pokémon
15,Butterfree,Compoundeyes,NaN,Tinted Lens,bug,flying,60,45,50,90,80,70,32.0,1.1,70.5,3.583,45.0,3840.0,Butterfly Pokémon
16,Grubbin,Swarm,NaN,NaN,bug,NaN,47,62,45,55,45,46,4.4,0.4,9.7,1.333,255.0,3840.0,Larva Pokémon
17,Charjabug,Battery,NaN,NaN,bug,electric,57,82,95,55,75,36,10.5,0.5,23.1,1.667,120.0,3840.0,Battery Pokémon
18,Vikavolt,Levitate,NaN,NaN,bug,electric,77,70,90,145,75,43,45.0,1.5,99.2,4.917,45.0,3840.0,Stag Beetle Pokémon
19,Hoothoot,Insomnia,Keen Eye,Tinted Lens,normal,flying,60,30,30,36,56,50,21.2,0.7,46.7,2.333,255.0,3840.0,Owl Pokémon
20,Noctowl,Insomnia,Keen Eye,Tinted Lens,normal,flying,100,50,50,86,96,70,40.8,1.6,89.9,5.25,90.0,3840.0,Owl Pokémon
21,Rookidee,Keen Eye,Unnerve,Big Pecks,flying,NaN,38,47,35,33,35,57,1.8,0.2,4.0,0.667,255.0,3840.0,Tiny Bird Pokémon
22,Corvisquire,Keen Eye,Unnerve,Big Pecks,flying,NaN,68,67,55,43,55,77,16.0,0.8,35.3,2.583,120.0,3840.0,Raven Pokémon
23,Corviknight,Pressure,Unnerve,Mirror Armor,flying,steel,98,87,105,53,85,67,75.0,2.2,165.3,7.25,45.0,3840.0,Raven Pokémon
24,Skwovet,Cheek Pouch,NaN,Gluttony,normal,NaN,70,55,55,35,35,25,2.5,0.3,5.5,1.0,255.0,5120.0,Cheeky Pokémon
25,Greedent,Cheek Pouch,NaN,Gluttony,normal,NaN,120,95,95,55,75,20,6.0,0.6,13.2,2.0,90.0,5120.0,Greedy Pokémon
26,Pidove,Big Pecks,Super Luck,Rivalry,normal,flying,50,55,50,36,30,43,2.1,0.3,4.6,1.0,255.0,3840.0,Tiny Pigeon Pokémon
27,Tranquill,Big Pecks,Super Luck,Rivalry,normal,flying,62,77,62,50,42,65,15.0,0.6,33.1,2.0,120.0,3840.0,Wild Pigeon Pokémon
28,Unfezant,Big Pecks,Super Luck,Rivalry,normal,flying,80,115,80,65,55,93,29.0,1.2,63.9,3.917,45.0,3840.0,Proud Pokémon
29,Nickit,Run Away,Unburden,Stakeout,dark,NaN,40,28,28,47,52,50,8.9,0.6,19.6,2.0,255.0,3840.0,Fox Pokémon
30,Thievul,Run Away,Unburden,Stakeout,dark,NaN,70,58,58,87,92,90,19.9,1.2,43.9,3.917,127.0,3840.0,Fox Pokémon
31,Zigzagoon,Pickup,Gluttony,Quick Feet,dark,normal,38,30,41,30,41,60,17.5,0.4,38.6,1.333,255.0,3840.0,Tiny Racoon Pokémon
32,Linoone,Pickup,Gluttony,Quick Feet,dark,normal,78,70,61,50,61,100,32.5,0.5,71.6,1.667,90.0,3840.0,Rush Pokémon
33,Obstagoon,Reckless,Guts,Defiant,dark,normal,93,90,101,60,81,95,46.0,1.6,101.4,5.25,45.0,3840.0,Blocking Pokémon
34,Wooloo,Fluffy,Run Away,Bulletproof,normal,NaN,42,40,55,40,45,48,6.0,0.6,13.2,2.0,255.0,3840.0,Sheep Pokémon
35,Dubwool,Fluffy,Steadfast,Bulletproof,normal,NaN,72,80,100,60,90,88,43.0,1.3,94.8,4.25,127.0,3840.0,Sheep Pokémon
36,Lotad,Swift Swim,Rain Dish,Own Tempo,water,grass,40,30,30,40,50,30,2.6,0.5,5.7,1.667,255.0,3840.0,Water Weed Pokémon
37,Lombre,Swift Swim,Rain Dish,Own Tempo,water,grass,60,50,50,60,70,50,32.5,1.2,71.6,3.917,120.0,3840.0,Jolly Pokémon
38,Ludicolo,Swift Swim,Rain Dish,Own Tempo,water,grass,80,70,70,90,100,70,55.0,1.5,121.3,4.917,45.0,3840.0,Carefree Pokémon
39,Seedot,Chlorophyll,Early Bird,Pickpocket,grass,NaN,40,40,50,30,30,30,4.0,0.5,8.8,1.667,255.0,3840.0,Acorn Pokémon
40,Nuzleaf,Chlorophyll,Early Bird,Pickpocket,grass,dark,70,70,40,60,40,60,28.0,1.0,61.7,3.25,120.0,3840.0,Wily Pokémon
41,Shiftry,Chlorophyll,Early Bird,Pickpocket,grass,dark,90,100,60,90,60,80,59.6,1.3,131.4,4.25,45.0,3840.0,Wickid Pokémon
42,Chewtle,Strong Jaw,Shell Armor,Swift Swim,water,NaN,50,64,50,38,38,44,8.5,0.3,18.7,1.0,255.0,5120.0,Snapping Pokémon
43,Drednaw,Strong Jaw,Shell Armor,Swift Swim,water,rock,90,115,90,48,68,74,115.5,1.0,254.6,3.25,75.0,5120.0,Bite Pokémon
44,Purrloin,Limber,Unburden,Prankster,dark,NaN,41,50,37,50,37,66,10.1,0.4,22.3,1.333,255.0,5120.0,Devious Pokémon
45,Liepard,Limber,Unburden,Prankster,dark,NaN,64,88,50,88,50,106,37.5,1.1,82.7,3.583,90.0,5120.0,Cruel Pokémon
46,Yamper,Ball Fetch,NaN,Rattled,electric,NaN,59,45,50,40,50,26,13.5,0.3,29.8,1.0,255.0,5120.0,Puppy Pokémon
47,Boltund,Strong Jaw,NaN,Competitive,electric,NaN,69,90,60,90,60,121,34.0,1.0,75.0,3.25,45.0,5120.0,Dog Pokémon
48,Bunnelby,Pickup,Cheek Pouch,Huge Power,normal,NaN,38,36,38,32,36,57,5.0,0.4,11.0,1.333,255.0,3840.0,Digging Pokémon
49,Diggersby,Pickup,Cheek Pouch,Huge Power,normal,ground,85,56,77,50,77,78,42.4,1.0,93.5,3.25,127.0,3840.0,Digging Pokémon
50,Minccino,Cute Charm,Technician,Skill Link,normal,NaN,55,50,40,40,40,75,5.8,0.4,12.8,1.333,255.0,3840.0,Chinchilla Pokémon
51,Cinccino,Cute Charm,Technician,Skill Link,normal,NaN,75,95,60,65,60,115,7.5,0.5,16.5,1.667,60.0,3840.0,Scarf Pokémon
52,Bounsweet,Leaf Guard,Oblivious,Sweet Veil,grass,NaN,42,30,38,30,38,32,3.2,0.3,7.1,1.0,235.0,5120.0,Fruit Pokémon
53,Steenee,Leaf Guard,Oblivious,Sweet Veil,grass,NaN,52,40,48,40,48,62,8.2,0.7,18.1,2.333,120.0,5120.0,Fruit Pokémon
54,Tsareena,Leaf Guard,Queenly Majesty,Sweet Veil,grass,NaN,72,120,98,50,98,72,21.4,1.2,47.2,3.917,45.0,5120.0,Fruit Pokémon
55,Oddish,Chlorophyll,NaN,Run Away,grass,poison,45,50,55,75,65,30,5.4,0.5,11.9,1.667,255.0,5120.0,Weed Pokémon
56,Gloom,Chlorophyll,NaN,Stench,grass,poison,60,65,70,85,75,40,8.6,0.8,19.0,2.583,120.0,5120.0,Weed Pokémon
57,Vileplume,Chlorophyll,NaN,Effect Spore,grass,poison,75,80,85,110,90,50,18.6,1.2,41.0,3.917,45.0,5120.0,Flower Pokémon
58,Bellossom,Chlorophyll,NaN,Healer,grass,NaN,75,80,95,90,100,50,5.8,0.4,12.8,1.333,45.0,5120.0,Flower Pokémon
59,Budew,Natural Cure,Poison Point,Leaf Guard,grass,poison,40,30,35,50,70,55,1.2,0.2,2.6,0.667,255.0,5120.0,Bud Pokémon
60,Roselia,Natural Cure,Poison Point,Leaf Guard,grass,poison,50,60,45,100,80,65,2.0,0.3,4.4,1.0,150.0,5120.0,Thorn Pokémon
61,Roserade,Natural Cure,Poison Point,Technician,grass,poison,60,70,65,125,105,90,14.5,0.9,32.0,2.917,75.0,5120.0,Bouquet Pokémon
62,Wingull,Keen Eye,Hydration,Rain Dish,water,flying,40,30,30,55,30,85,9.5,0.6,20.9,2.0,190.0,5120.0,Seagull Pokémon
63,Pelipper,Keen Eye,Drizzle,Rain Dish,water,flying,60,50,100,95,70,65,28.0,1.2,61.7,3.917,45.0,5120.0,Water Bird Pokémon
64,Joltik,Compoundeyes,Unnerve,Swarm,bug,electric,50,47,50,57,50,65,0.6,0.1,1.3,0.333,190.0,5120.0,Attaching Pokémon
65,Galvantula,Compoundeyes,Unnerve,Swarm,bug,electric,70,77,60,97,60,108,14.3,0.8,31.5,2.583,75.0,5120.0,EleSpider Pokémon
66,Electrike,Static,Lightning Rod,Minus,electric,NaN,40,45,40,65,40,65,15.2,0.6,33.5,2.0,120.0,5120.0,Lightning Pokémon
67,Manectric,Static,Lightning Rod,Minus,electric,NaN,70,75,60,105,60,105,40.2,1.5,88.6,4.917,45.0,5120.0,Discharge Pokémon
68,Vulpix,Flash Fire,NaN,Drought,fire,NaN,38,41,40,50,65,65,9.9,0.6,21.8,2.0,190.0,5120.0,Fox Pokémon
69,Ninetales,Flash Fire,NaN,Drought,fire,NaN,73,76,75,81,100,100,19.9,1.1,43.9,3.583,75.0,5120.0,Fox Pokémon
70,Growlithe,Intimidate,Flash Fire,Justified,fire,NaN,55,70,45,70,50,60,19.0,0.7,41.9,2.333,190.0,5120.0,Puppy Pokémon
71,Arcanine,Intimidate,Flash Fire,Justified,fire,NaN,90,110,80,100,80,95,155.0,1.9,341.7,6.25,75.0,5120.0,Legendary Pokémon
72,Vanillite,Ice Body,Snow Cloak,Weak Armor,ice,NaN,36,50,50,65,60,44,5.7,0.4,12.6,1.333,255.0,5120.0,Fresh Snow Pokémon
73,Vanillish,Ice Body,Snow Cloak,Weak Armor,ice,NaN,51,65,65,80,75,59,41.0,1.1,90.4,3.583,120.0,5120.0,Icy Snow Pokémon
74,Vanilluxe,Ice Body,Snow Warning,Weak Armor,ice,NaN,71,95,85,110,95,79,57.5,1.3,126.8,4.25,45.0,5120.0,Snowstorm Pokémon
75,Swinub,Oblivious,Snow Cloak,Thick Fat,ice,ground,50,50,40,30,30,50,6.5,0.4,14.3,1.333,225.0,5120.0,Pig Pokémon
76,Piloswine,Oblivious,Snow Cloak,Thick Fat,ice,ground,100,100,80,60,60,50,55.8,1.1,123.0,3.583,75.0,5120.0,Swine Pokémon
77,Mamoswine,Oblivious,Snow Cloak,Thick Fat,ice,ground,110,130,80,70,60,80,291.0,2.5,641.5,8.167,50.0,5120.0,Twin Tusk Pokémon
78,Delibird,Vital Spirit,Hustle,Insomnia,ice,flying,45,55,45,65,45,75,16.0,0.9,35.3,2.917,45.0,5120.0,Delivery Pokémon
79,Snorunt,Inner Focus,Ice Body,Moody,ice,NaN,50,50,50,50,50,50,16.8,0.7,37.0,2.333,190.0,5120.0,Snow Hat Pokémon
80,Glalie,Inner Focus,Ice Body,Moody,ice,NaN,80,80,80,80,80,80,256.5,1.5,565.5,4.917,75.0,5120.0,Face Pokémon
81,Froslass,Snow Cloak,NaN,Cursed Body,ice,ghost,70,80,70,80,70,110,26.6,1.3,58.6,4.25,75.0,5120.0,Snow Land Pokémon
82,Baltoy,Levitate,NaN,NaN,ground,psychic,40,40,55,40,70,55,21.5,0.5,47.4,1.667,255.0,5120.0,Clay Doll Pokémon
83,Claydol,Levitate,NaN,NaN,ground,psychic,60,70,105,70,120,75,108.0,1.5,238.1,4.917,90.0,5120.0,Clay Doll Pokémon
84,Mudbray,Own Tempo,Stamina,Inner Focus,ground,NaN,70,100,70,45,55,45,110.0,1.0,242.5,3.25,190.0,5120.0,Donkey Pokémon
85,Mudsdale,Own Tempo,Stamina,Inner Focus,ground,NaN,100,125,100,55,85,35,920.0,2.5,2028.2,8.167,60.0,5120.0,Draft Horse Pokémon
86,Dwebble,Sturdy,Shell Armor,Weak Armor,bug,rock,50,65,85,35,35,55,14.5,0.3,32.0,1.0,190.0,5120.0,Rock Inn Pokémon
87,Crustle,Sturdy,Shell Armor,Weak Armor,bug,rock,70,105,125,65,75,45,200.0,1.4,440.9,4.583,75.0,5120.0,Stone Home Pokémon
88,Golett,Iron Fist,Klutz,No Guard,ground,ghost,59,74,50,35,50,35,92.0,1.0,202.8,3.25,190.0,6400.0,Automaton Pokémon
89,Golurk,Iron Fist,Klutz,No Guard,ground,ghost,89,124,80,55,80,55,330.0,2.8,727.5,9.167,90.0,6400.0,Automaton Pokémon
90,Munna,Forewarn,Synchronize,Telepathy,psychic,NaN,76,25,45,67,55,24,23.3,0.6,51.4,2.0,190.0,2560.0,Dream Eater Pokémon
91,Musharna,Forewarn,Synchronize,Telepathy,psychic,NaN,116,55,85,107,95,29,60.5,1.1,133.4,3.583,75.0,2560.0,Drowsing Pokémon
92,Natu,Synchronize,Early Bird,Magic Bounce,psychic,flying,40,50,45,70,45,70,2.0,0.2,4.4,0.667,190.0,5120.0,Little Bird Pokémon
93,Xatu,Synchronize,Early Bird,Magic Bounce,psychic,flying,65,75,70,95,70,95,15.0,1.5,33.1,4.917,75.0,5120.0,Mystic Pokémon
94,Stufful,Fluffy,Klutz,Cute Charm,normal,fighting,70,75,50,45,50,50,6.8,0.5,15.0,1.667,140.0,3840.0,Flailing Pokémon
95,Bewear,Fluffy,Klutz,Unnerve,normal,fighting,120,125,80,55,60,60,135.0,2.1,297.6,6.917,70.0,3840.0,Strong Arm Pokémon
96,Snover,Snow Warning,NaN,Soundproof,grass,ice,60,62,50,62,60,40,50.5,1.0,111.3,3.25,120.0,5120.0,Frosted Tree Pokémon
97,Abomasnow,Snow Warning,NaN,Soundproof,grass,ice,90,92,75,92,85,60,135.5,2.2,298.7,7.25,60.0,5120.0,Frosted Tree Pokémon
98,Krabby,Hyper Cutter,Shell Armor,Sheer Force,water,NaN,30,105,90,25,25,50,6.5,0.4,14.3,1.333,225.0,5120.0,River Crab Pokémon
99,Kingler,Hyper Cutter,Shell Armor,Sheer Force,water,NaN,55,130,115,50,50,75,60.0,1.3,132.3,4.25,60.0,5120.0,Pincer Pokémon
100,Wooper,Damp,Water Absorb,Unaware,water,ground,55,45,45,25,25,15,8.5,0.4,18.7,1.333,255.0,5120.0,Water Fish Pokémon
101,Quagsire,Damp,Water Absorb,Unaware,water,ground,95,85,85,65,65,35,75.0,1.4,165.3,4.583,90.0,5120.0,Water Fish Pokémon
102,Corphish,Hyper Cutter,Shell Armor,Adaptability,water,NaN,43,80,65,50,35,35,11.5,0.6,25.4,2.0,205.0,3840.0,Ruffian Pokémon
103,Crawdaunt,Hyper Cutter,Shell Armor,Adaptability,water,dark,63,120,85,90,55,55,32.8,1.1,72.3,3.583,155.0,3840.0,Rogue Pokémon
104,Nincada,Compoundeyes,NaN,Run Away,bug,ground,31,45,90,30,30,40,5.5,0.5,12.1,1.667,255.0,3840.0,Trainee Pokémon
105,Ninjask,Speed Boost,NaN,Infiltrator,bug,flying,61,90,45,50,50,160,12.0,0.8,26.5,2.583,120.0,3840.0,Ninja Pokémon
106,Shedinja,Wonder Guard,NaN,NaN,bug,ghost,1,90,45,30,30,40,1.2,0.8,2.6,2.583,45.0,3840.0,Shed Pokémon
107,Tyrogue,Guts,Steadfast,Vital Spirit,fighting,NaN,35,35,35,35,35,35,21.0,0.7,46.3,2.333,75.0,6400.0,Scuffle Pokémon
108,Hitmonlee,Limber,Reckless,Unburden,fighting,NaN,50,120,53,35,110,87,49.8,1.5,109.8,4.917,45.0,6400.0,Kicking Pokémon
109,Hitmonchan,Keen Eye,Iron Fist,Inner Focus,fighting,NaN,50,105,79,35,110,76,50.2,1.4,110.7,4.583,45.0,6400.0,Punching Pokémon
110,Hitmontop,Intimidate,Technician,Steadfast,fighting,NaN,50,95,95,35,110,70,48.0,1.4,105.8,4.583,45.0,6400.0,Handstand Pokémon
111,Pancham,Iron Fist,Mold Breaker,Scrappy,fighting,NaN,67,82,62,46,48,43,8.0,0.6,17.6,2.0,220.0,6400.0,Playful Pokémon
112,Pangoro,Iron Fist,Mold Breaker,Scrappy,fighting,dark,95,124,78,69,71,58,136.0,2.1,299.8,6.917,65.0,6400.0,Daunting Pokémon
113,Klink,Plus,Minus,Clear Body,steel,NaN,40,55,70,45,60,30,21.0,0.3,46.3,1.0,130.0,5120.0,Gear Pokémon
114,Klang,Plus,Minus,Clear Body,steel,NaN,60,80,95,70,85,50,51.0,0.6,112.4,2.0,60.0,5120.0,Gear Pokémon
115,Klinklang,Plus,Minus,Clear Body,steel,NaN,60,100,115,70,85,90,81.0,0.6,178.6,2.0,30.0,5120.0,Gear Pokémon
116,Combee,Honey Gather,NaN,Hustle,bug,flying,30,30,42,30,42,70,5.5,0.3,12.1,1.0,120.0,3840.0,Tiny Bee Pokémon
117,Vespiquen,Pressure,NaN,Unnerve,bug,flying,70,80,102,80,102,40,38.5,1.2,84.9,3.917,45.0,3840.0,Beehive Pokémon
118,Bronzor,Levitate,Heatproof,Heavy Metal,steel,psychic,57,24,86,24,86,23,60.5,0.5,133.4,1.667,255.0,5120.0,Bronze Pokémon
119,Bronzong,Levitate,Heatproof,Heavy Metal,steel,psychic,67,89,116,79,116,33,187.0,1.3,412.3,4.25,90.0,5120.0,Bronze Bell Pokémon
120,Ralts,Synchronize,Trace,Telepathy,psychic,fairy,28,25,25,45,35,40,6.6,0.4,14.6,1.333,235.0,5120.0,Feeling Pokémon
121,Kirlia,Synchronize,Trace,Telepathy,psychic,fairy,38,35,35,65,55,50,20.2,0.8,44.5,2.583,120.0,5120.0,Emotion Pokémon
122,Gardevoir,Synchronize,Trace,Telepathy,psychic,fairy,68,65,65,125,115,80,48.4,1.6,106.7,5.25,45.0,5120.0,Embrace Pokémon
123,Gallade,Steadfast,NaN,Justified,psychic,fighting,68,125,65,65,115,80,52.0,1.6,114.6,5.25,45.0,5120.0,Blade Pokémon
124,Drifloon,Aftermath,Unburden,Flare Boost,ghost,flying,90,50,34,60,44,70,1.2,0.4,2.6,1.333,125.0,7680.0,Balloon Pokémon
125,Drifblim,Aftermath,Unburden,Flare Boost,ghost,flying,150,80,44,90,54,80,15.0,1.2,33.1,3.917,60.0,7680.0,Blimp Pokémon
126,Gossifleur,Cotton Down,Regenerator,Effect Spore,grass,NaN,40,40,60,40,60,10,2.2,0.4,4.9,1.333,190.0,5120.0,Flowering Pokémon
127,Eldegoss,Cotton Down,Regenerator,Effect Spore,grass,NaN,60,50,90,80,120,60,2.5,0.5,5.5,1.667,75.0,5120.0,Cotton Bloom Pokémon
128,Cherubi,Chlorophyll,NaN,NaN,grass,NaN,45,35,45,62,53,35,3.3,0.4,7.3,1.333,190.0,5120.0,Cherry Pokémon
129,Cherrim,Flower Gift,NaN,NaN,grass,NaN,70,60,70,87,78,85,9.3,0.5,20.5,1.667,75.0,5120.0,Blossom Pokémon
130,Stunky,Stench,Aftermath,Keen Eye,poison,dark,63,63,47,41,41,74,19.2,0.4,42.3,1.333,225.0,5120.0,Skunk Pokémon
131,Skuntank,Stench,Aftermath,Keen Eye,poison,dark,103,93,67,71,61,84,38.0,1.0,83.8,3.25,60.0,5120.0,Skunk Pokémon
132,Tympole,Swift Swim,Hydration,Water Absorb,water,NaN,50,50,40,50,40,64,4.5,0.5,9.9,1.667,255.0,5120.0,Tadpole Pokémon
133,Palpitoad,Swift Swim,Hydration,Water Absorb,water,ground,75,65,55,65,55,69,17.0,0.8,37.5,2.583,120.0,5120.0,Vibration Pokémon
134,Seismitoad,Swift Swim,Poison Touch,Water Absorb,water,ground,105,95,75,85,75,74,62.0,1.5,136.7,4.917,45.0,5120.0,Vibration Pokémon
