Galar Pokedex Number,Pokemon,Ability I,Ability II,Hidden Ability,Type I,Type II,HP,Atk,Def,SpAtk,SpDef,Speed,Weight_kg,Height_m,Weight_lbs,Height_ft,Cap_Rate,Egg_Steps,Classification
135,Duskull,Levitate,NaN,Frisk,ghost,NaN,20,40,90,30,90,25,15.0,0.8,33.1,2.583,190.0,6400.0,Requiem Pokémon
136,Dusclops,Pressure,NaN,Frisk,ghost,NaN,40,70,130,60,130,25,30.6,1.6,67.5,5.25,90.0,6400.0,Beckon Pokémon
137,Dusknoir,Pressure,NaN,Frisk,ghost,NaN,45,100,135,65,135,45,106.6,2.2,235.0,7.25,45.0,6400.0,Gripper Pokémon
138,Machop,Guts,No Guard,Steadfast,fighting,NaN,70,80,50,35,35,35,19.5,0.8,43.0,2.583,180.0,5120.0,Superpower Pokémon
139,Machoke,Guts,No Guard,Steadfast,fighting,NaN,80,100,70,50,60,45,70.5,1.5,155.4,4.917,90.0,5120.0,Superpower Pokémon
140,Machamp,Guts,No Guard,Steadfast,fighting,NaN,90,130,80,65,85,55,130.0,1.6,286.6,5.25,45.0,5120.0,Superpower Pokémon
141,Gastly,Levitate,NaN,NaN,ghost,poison,30,35,30,100,35,80,0.1,1.3,0.2,4.25,190.0,5120.0,Gas Pokémon
142,Haunter,Levitate,NaN,NaN,ghost,poison,45,50,45,115,55,95,0.1,1.6,0.2,5.25,90.0,5120.0,Gas Pokémon
143,Gengar,Cursed Body,NaN,NaN,ghost,poison,60,65,60,130,75,110,40.5,1.5,89.3,4.917,45.0,5120.0,Shadow Pokémon
144,Magikarp,Swift Swim,NaN,Rattled,water,NaN,20,10,55,15,20,80,10.0,0.9,22.0,2.917,255.0,1280.0,Fish Pokémon
145,Gyarados,Intimidate,NaN,Moxie,water,flying,95,125,79,60,100,81,235.0,6.5,518.1,21.333,45.0,1280.0,Atrocious Pokémon
146,Goldeen,Swift Swim,Water Veil,Lightning Rod,water,NaN,45,67,60,35,50,63,15.0,0.6,33.1,2.0,225.0,5120.0,Goldfish Pokémon
147,Seaking,Swift Swim,Water Veil,Lightning Rod,water,NaN,80,92,65,65,80,68,39.0,1.3,86.0,4.25,60.0,5120.0,Goldfish Pokémon
148,Remoraid,Hustle,Sniper,Moody,water,NaN,35,65,35,65,35,65,12.0,0.6,26.5,2.0,190.0,5120.0,Jet Pokémon
149,Octillery,Suction Cups,Sniper,Moody,water,NaN,75,105,75,105,75,45,28.5,0.9,62.8,2.917,75.0,5120.0,Jet Pokémon
150,Shellder,Shell Armor,Skill Link,Overcoat,water,NaN,30,65,100,45,25,40,4.0,0.3,8.8,1.0,190.0,5120.0,Bivalve Pokémon
151,Cloyster,Shell Armor,Skill Link,Overcoat,water,ice,50,95,180,85,45,70,132.5,1.5,292.1,4.917,60.0,5120.0,Bivalve Pokémon
152,Feebas,Swift Swim,Oblivious,Adaptability,water,NaN,20,15,20,10,55,80,7.4,0.6,16.3,2.0,255.0,5120.0,Fish Pokémon
153,Milotic,Marvel Scale,Competitive,Cute Charm,water,NaN,95,60,79,100,125,81,162.0,6.2,357.1,20.333,60.0,5120.0,Tender Pokémon
154,Basculin,Reckless,Adaptability,Mold Breaker,water,NaN,70,92,65,80,55,98,18.0,1.0,39.7,3.25,25.0,10240.0,Hostile Pokémon
155,Wishiwashi,Schooling,NaN,NaN,water,NaN,45,20,20,25,25,40,0.3,0.2,0.7,0.667,60.0,3840.0,Small Fry Pokémon
156,Pyukumuku,Innards Out,NaN,Unaware,water,NaN,55,60,130,30,130,5,1.2,0.3,2.6,1.0,60.0,3840.0,Sea Cucumber Pokémon
157,Trubbish,Stench,Sticky Hold,Aftermath,poison,NaN,50,50,62,40,62,65,31.0,0.6,68.3,2.0,190.0,5120.0,Trash Bag Pokémon
158,Garbodor,Stench,Weak Armor,Aftermath,poison,NaN,80,95,82,60,82,75,107.3,1.9,236.6,6.25,60.0,5120.0,Trash Heap Pokémon
159,Sizzlipede,Flash Fire,White Smoke,Flame Body,fire,bug,50,65,45,50,50,45,1.0,0.7,2.2,2.333,190.0,5120.0,Radiator Pokémon
160,Centiskorch,Flash Fire,White Smoke,Flame Body,fire,bug,100,115,65,90,90,65,120.0,3.0,264.6,9.833,75.0,5120.0,Radiator Pokémon
161,Rolycoly,Steam Engine,Heatproof,Flash Fire,rock,NaN,30,40,50,40,50,30,12.0,0.3,26.5,1.0,255.0,3840.0,Coal Pokémon
162,Carkol,Steam Engine,Flame Body,Flash Fire,rock,fire,80,60,90,60,70,50,78.0,1.1,172.0,3.583,120.0,3840.0,Coal Pokémon
163,Coalossal,Steam Engine,Flame Body,Flash Fire,rock,fire,110,80,120,80,90,30,310.5,2.8,684.5,9.167,45.0,3840.0,Coal Pokémon
164,Diglett,Sand Veil,Arena Trap,Sand Force,ground,NaN,10,55,25,35,45,95,0.8,0.2,1.8,0.667,255.0,5120.0,Mole Pokémon
165,Dugtrio,Sand Veil,Arena Trap,Sand Force,ground,NaN,35,100,50,50,70,120,33.3,0.7,73.4,2.333,50.0,5120.0,Mole Pokémon
166,Drilbur,Sand Rush,Sand Force,Mold Breaker,ground,NaN,60,85,40,30,45,68,8.5,0.3,18.7,1.0,120.0,5120.0,Mole Pokémon
167,Excadrill,Sand Rush,Sand Force,Mold Breaker,ground,steel,110,135,60,50,65,88,40.4,0.7,89.1,2.333,60.0,5120.0,Subterrene Pokémon
168,Roggenrola,Sturdy,Weak Armor,Sand Force,rock,NaN,55,75,85,25,25,15,18.0,0.4,39.7,1.333,255.0,3840.0,Mantle Pokémon
169,Boldore,Sturdy,Weak Armor,Sand Force,rock,NaN,70,105,105,50,40,20,102.0,0.9,224.9,2.917,120.0,3840.0,Ore Pokémon
170,Gigalith,Sturdy,Sand Stream,Sand Force,rock,NaN,85,135,130,60,80,25,260.0,1.7,573.2,5.583,45.0,3840.0,Compressed Pokémon
171,Timburr,Guts,Sheer Force,Iron Fist,fighting,NaN,75,80,55,25,35,35,12.5,0.6,27.6,2.0,180.0,5120.0,Muscular Pokémon
172,Gurdurr,Guts,Sheer Force,Iron Fist,fighting,NaN,85,105,85,40,50,40,40.0,1.2,88.2,3.917,90.0,5120.0,Muscular Pokémon
173,Conkeldurr,Guts,Sheer Force,Iron Fist,fighting,NaN,105,140,95,55,65,45,87.0,1.4,191.8,4.583,45.0,5120.0,Muscular Pokémon
174,Woobat,Unaware,Klutz,Simple,psychic,flying,65,45,43,55,43,72,2.1,0.4,4.6,1.333,190.0,3840.0,Bat Pokémon
175,Swoobat,Unaware,Klutz,Simple,psychic,flying,67,57,55,77,55,114,10.5,0.9,23.1,2.917,45.0,3840.0,Courting Pokémon
176,Noibat,Frisk,Infiltrator,Telepathy,flying,dragon,40,30,35,45,40,55,8.0,0.5,17.6,1.667,190.0,5120.0,Sound Wave Pokémon
177,Noivern,Frisk,Infiltrator,Telepathy,flying,dragon,85,70,80,97,80,123,85.0,1.5,187.4,4.917,45.0,5120.0,Sound Wave Pokémon
178,Onix,Rock Head,Sturdy,Weak Armor,rock,ground,35,45,160,30,45,70,210.0,8.8,463.0,28.833,45.0,6400.0,Rock Snake Pokémon
179,Steelix,Rock Head,Sturdy,Sheer Force,steel,ground,75,85,200,55,65,30,400.0,9.2,881.8,30.167,25.0,6400.0,Iron Snake Pokémon
180,Arrokuda,Swift Swim,NaN,Propeller Tail,water,NaN,41,63,40,40,30,66,1.0,0.5,2.2,1.667,255.0,5120.0,Rush Pokémon
181,Barraskewda,Swift Swim,NaN,Propeller Tail,water,NaN,61,123,60,60,50,136,30.0,1.3,66.1,4.25,60.0,5120.0,Skewer Pokémon
182,Meowth,Pickup,Tough Claws,Unnerve,steel,NaN,50,65,55,40,40,40,4.2,0.4,9.3,1.333,255.0,5120.0,Scratch Cat Pokémon
183,Perrserker,Battle Armor,Tough Claws,Steely Spirit,steel,NaN,70,110,100,50,60,50,28.0,0.8,61.7,2.583,90.0,5120.0,Viking Pokémon
184,Persian,Limber,Technician,Unnerve,normal,NaN,65,70,60,65,65,115,32.0,1.0,70.5,3.25,90.0,5120.0,Classy Cat Pokémon
185,Milcery,Sweet Veil,NaN,Aroma Veil,fairy,NaN,45,40,40,50,61,34,0.3,0.2,0.7,0.667,200.0,5120.0,Cream Pokémon
186,Alcremie,Sweet Veil,NaN,Aroma Veil,fairy,NaN,65,60,75,110,121,64,0.5,0.3,1.1,1.0,100.0,5120.0,Cream Pokémon
187,Cutiefly,Honey Gather,Shield Dust,Sweet Veil,bug,fairy,40,45,40,55,40,84,0.2,0.1,0.4,0.333,190.0,5120.0,Bee Fly Pokémon
188,Ribombee,Honey Gather,Shield Dust,Sweet Veil,bug,fairy,60,55,60,95,70,124,0.5,0.2,1.1,0.667,75.0,5120.0,Bee Fly Pokémon
189,Ferroseed,Iron Barbs,NaN,NaN,grass,steel,44,50,91,24,86,10,18.8,0.6,41.4,2.0,255.0,5120.0,Thorn Seed Pokémon
190,Ferrothorn,Iron Barbs,NaN,Anticipation,grass,steel,74,94,131,54,116,20,110.0,1.0,242.5,3.25,90.0,5120.0,Thorn Pod Pokémon
191,Pumpkaboo,Pickup,Frisk,Insomnia,ghost,grass,49,66,70,44,55,51,5.0,0.4,11.0,1.333,120.0,5120.0,Pumpkin Pokémon
192,Gourgeist,Pickup,Frisk,Insomnia,ghost,grass,65,90,122,58,75,84,12.5,0.9,27.6,2.917,60.0,5120.0,Pumpkin Pokémon
193,Pichu,Static,NaN,Lightning Rod,electric,NaN,20,40,15,35,35,60,2.0,0.3,4.4,1.0,190.0,2560.0,Tiny Mouse Pokémon
194,Pikachu,Static,NaN,Lightning Rod,electric,NaN,35,55,40,50,50,90,6.0,0.4,13.2,1.333,190.0,2560.0,Mouse Pokémon
195,Raichu,Static,NaN,Lightning Rod,electric,NaN,60,90,55,90,80,110,30.0,0.8,66.1,2.583,75.0,2560.0,Mouse Pokémon
196,Eevee,Run Away,Adaptability,Anticipation,normal,NaN,55,55,50,45,65,55,6.5,0.3,14.3,1.0,45.0,8960.0,Evolution Pokémon
197,Vaporeon,Water Absorb,NaN,Hydration,water,NaN,130,65,60,110,95,65,29.0,1.0,63.9,3.25,45.0,8960.0,Bubble Jet Pokémon
198,Jolteon,Volt Absorb,NaN,Quick Feet,electric,NaN,65,65,60,110,95,130,24.5,0.8,54.0,2.583,45.0,8960.0,Lightning Pokémon
199,Flareon,Flash Fire,NaN,Guts,fire,NaN,65,130,60,95,110,65,25.0,0.9,55.1,2.917,45.0,8960.0,Flame Pokémon
200,Espeon,Synchronize,NaN,Magic Bounce,psychic,NaN,65,65,60,130,95,110,26.5,0.9,58.4,2.917,45.0,8960.0,Sun Pokémon
201,Umbreon,Synchronize,NaN,Inner Focus,dark,NaN,95,65,110,60,130,65,27.0,1.0,59.5,3.25,45.0,8960.0,Moonlight Pokémon
202,Leafeon,Leaf Guard,NaN,Chlorophyll,grass,NaN,65,110,130,60,65,95,25.5,1.0,56.2,3.25,45.0,8960.0,Verdant Pokémon
203,Glaceon,Snow Cloak,NaN,Ice Body,ice,NaN,65,60,110,130,95,65,25.9,0.8,57.1,2.583,45.0,8960.0,Fresh Snow Pokémon
204,Sylveon,Cute Charm,NaN,Pixilate,fairy,NaN,95,65,65,110,130,60,23.5,1.0,51.8,3.25,45.0,8960.0,Intertwining Pokémon
205,Applin,Ripen,Gluttony,Bulletproof,grass,dragon,40,40,80,40,40,20,0.5,0.2,1.1,0.667,255.0,5120.0,Apple Core Pokémon
206,Flapple,Ripen,Gluttony,Hustle,grass,dragon,70,110,80,95,60,70,1.0,0.3,2.2,1.0,45.0,5120.0,Apple Wing Pokémon
207,Appletun,Ripen,Gluttony,Thick Fat,grass,dragon,110,85,80,100,80,30,13.0,0.4,28.7,1.333,45.0,5120.0,Apple Nectar Pokémon
208,Espurr,Keen Eye,Infiltrator,Own Tempo,psychic,NaN,62,48,54,63,60,68,3.5,0.3,7.7,1.0,190.0,5120.0,Restraint Pokémon
209,Meowstic,Keen Eye,Infiltrator,Prankster,psychic,NaN,74,48,76,83,81,104,8.5,0.6,18.7,2.0,75.0,5120.0,Constraint Pokémon
210,Swirlix,Sweet Veil,NaN,Unburden,fairy,NaN,62,48,66,59,57,49,3.5,0.4,7.7,1.333,200.0,5120.0,Cotton Candy Pokémon
211,Slurpuff,Sweet Veil,NaN,Unburden,fairy,NaN,82,80,86,85,75,72,5.0,0.8,11.0,2.583,140.0,5120.0,Meringue Pokémon
212,Spritzee,Healer,NaN,Aroma Veil,fairy,NaN,78,52,60,63,65,23,0.5,0.2,1.1,0.667,200.0,5120.0,Perfume Pokémon
213,Aromatisse,Healer,NaN,Aroma Veil,fairy,NaN,101,72,72,99,89,29,15.5,0.8,34.2,2.583,140.0,5120.0,Fragrance Pokémon
214,Dewpider,Water Bubble,NaN,Water Absorb,water,bug,38,40,52,40,72,27,4.0,0.3,8.8,1.0,200.0,3840.0,Water Bubble Pokémon
215,Araquanid,Water Bubble,NaN,Water Absorb,water,bug,68,70,92,50,132,42,82.0,1.8,180.8,5.917,100.0,3840.0,Water Bubble Pokémon
216,Wynaut,Shadow Tag,NaN,Telepathy,psychic,NaN,95,23,48,23,48,23,14.0,0.6,30.9,2.0,125.0,5120.0,Bright Pokémon
217,Wobbuffet,Shadow Tag,NaN,Telepathy,psychic,NaN,190,33,58,33,58,33,28.5,1.3,62.8,4.25,45.0,5120.0,Patient Pokémon
218,Farfetchd,Steadfast,NaN,Scrappy,fighting,NaN,52,95,55,58,62,55,15.0,0.8,33.1,2.583,45.0,5120.0,Wild Duck Pokémon
219,Sirfetchd,Steadfast,NaN,Scrappy,fighting,NaN,62,135,95,68,82,65,117.0,0.8,257.9,2.583,45.0,5120.0,Wild Duck Pokémon
220,Chinchou,Volt Absorb,Illuminate,Water Absorb,water,electric,75,38,38,56,56,67,12.0,0.5,26.5,1.667,190.0,5120.0,Angler Pokémon
221,Lanturn,Volt Absorb,Illuminate,Water Absorb,water,electric,125,58,58,76,76,67,22.5,1.2,49.6,3.917,75.0,5120.0,Light Pokémon
222,Croagunk,Anticipation,Dry Skin,Poison Touch,poison,fighting,48,61,40,61,40,50,23.0,0.7,50.7,2.333,140.0,2560.0,Toxic Mouth Pokémon
223,Toxicroak,Anticipation,Dry Skin,Poison Touch,poison,fighting,83,106,65,86,65,85,44.4,1.3,97.9,4.25,75.0,5120.0,Toxic Mouth Pokémon
224,Scraggy,Shed Skin,Moxie,Intimidate,dark,fighting,50,75,70,35,70,48,11.8,0.6,26.0,2.0,180.0,3840.0,Shedding Pokémon
225,Scrafty,Shed Skin,Moxie,Intimidate,dark,fighting,65,90,115,45,115,58,30.0,1.1,66.1,3.583,90.0,3840.0,Hoodlum Pokémon
226,Stunfisk,Mimicry,NaN,NaN,ground,steel,109,81,99,66,84,32,11.0,0.7,24.3,2.333,75.0,5120.0,Trap Pokémon
227,Shuckle,Sturdy,Gluttony,Contrary,bug,rock,20,10,230,10,230,5,20.5,0.6,45.2,2.0,190.0,5120.0,Mold Pokémon
228,Barboach,Oblivious,Anticipation,Hydration,water,ground,50,48,43,46,41,60,1.9,0.4,4.2,1.333,190.0,5120.0,Whiskers Pokémon
229,Whiscash,Oblivious,Anticipation,Hydration,water,ground,110,78,73,76,71,60,23.6,0.9,52.0,2.917,75.0,5120.0,Whiskers Pokémon
230,Shellos,Sticky Hold,Storm Drain,Sand Force,water,NaN,76,48,48,57,62,34,6.3,0.3,13.9,1.0,190.0,5120.0,Sea Slug Pokémon
231,Gastrodon,Sticky Hold,Storm Drain,Sand Force,water,ground,111,83,68,92,82,39,29.9,0.9,65.9,2.917,75.0,5120.0,Sea Slug Pokémon
232,Wimpod,Wimp Out,NaN,NaN,bug,water,25,35,40,20,30,80,12.0,0.5,26.5,1.667,90.0,5120.0,Turn Tail Pokémon
233,Golisopod,Emergency Exit,NaN,NaN,bug,water,75,125,140,60,90,40,108.0,2.0,238.1,6.583,45.0,5120.0,Hard Scale Pokémon
234,Binacle,Tough Claws,Sniper,Pickpocket,rock,water,42,52,67,39,56,50,31.0,0.5,68.3,1.667,120.0,5120.0,Two-Handed Pokémon
235,Barbaracle,Tough Claws,Sniper,Pickpocket,rock,water,72,105,115,54,86,68,96.0,1.3,211.6,4.25,45.0,5120.0,Collective Pokémon
236,Corsola,Weak Armor,NaN,Cursed Body,ghost,NaN,60,55,100,65,100,30,5.0,0.6,11.0,2.0,60.0,5120.0,Coral Pokémon
237,Cursola,Weak Armor,NaN,Perish Body,ghost,NaN,60,95,50,145,130,30,0.4,1.0,0.9,3.25,30.0,5120.0,Coral Pokémon
238,Impidimp,Prankster,Frisk,Pickpocket,dark,fairy,45,45,30,55,40,50,5.5,0.4,12.1,1.333,255.0,5120.0,Wily Pokémon
239,Morgrem,Prankster,Frisk,Pickpocket,dark,fairy,65,60,45,75,55,70,12.5,0.8,27.6,2.583,120.0,5120.0,Devious Pokémon
240,Grimmsnarl,Prankster,Frisk,Pickpocket,dark,fairy,95,120,65,95,75,60,61.0,1.5,134.5,4.917,45.0,5120.0,Bulk Up Pokémon
241,Hatenna,Healer,Anticipation,Magic Bounce,psychic,NaN,42,30,45,56,53,39,3.4,0.4,7.5,1.333,235.0,5120.0,Calm Pokémon
242,Hattrem,Healer,Anticipation,Magic Bounce,psychic,NaN,57,40,65,86,73,49,4.8,0.6,10.6,2.0,120.0,5120.0,Serene Pokémon
243,Hatterene,Healer,Anticipation,Magic Bounce,psychic,fairy,57,90,95,136,103,29,5.1,2.1,11.2,6.917,45.0,5120.0,Silent Pokémon
244,Salandit,Corrosion,NaN,Oblivious,poison,fire,48,44,40,71,40,77,4.8,0.6,10.6,2.0,120.0,5120.0,Toxic Lizard Pokémon
245,Salazzle,Corrosion,NaN,Oblivious,poison,fire,68,64,60,111,60,117,22.2,1.2,48.9,3.917,45.0,5120.0,Toxic Lizard Pokémon
246,Pawniard,Defiant,Inner Focus,Pressure,dark,steel,45,85,70,40,40,60,10.2,0.5,22.5,1.667,120.0,5120.0,Sharp Blade Pokémon
247,Bisharp,Defiant,Inner Focus,Pressure,dark,steel,65,125,100,60,70,70,70.0,1.6,154.3,5.25,45.0,5120.0,Sword Blade Pokémon
248,Throh,Guts,Inner Focus,Mold Breaker,fighting,NaN,120,100,85,30,85,45,55.5,1.3,122.4,4.25,45.0,5120.0,Judo Pokémon
249,Sawk,Sturdy,Inner Focus,Mold Breaker,fighting,NaN,75,125,75,30,75,85,51.0,1.4,112.4,4.583,45.0,5120.0,Karate Pokémon
250,Koffing,Levitate,Neutralizing Gas,Stench,poison,NaN,40,65,95,60,45,35,1.0,0.6,2.2,2.0,190.0,5120.0,Poison Gas Pokémon
251,Weezing,Levitate,Neutralizing Gas,Misty Surge,poison,fairy,65,90,120,85,70,60,9.5,1.2,20.9,3.917,60.0,5120.0,Poison Gas Pokémon
252,Bonsly,Sturdy,Rock Head,Rattled,rock,NaN,50,80,95,10,45,10,15.0,0.5,33.1,1.667,255.0,5120.0,Bonsai Pokémon
253,Sudowoodo,Sturdy,Rock Head,Rattled,rock,NaN,70,100,115,30,65,30,38.0,1.2,83.8,3.917,65.0,5120.0,Imitation Pokémon
254,Cleffa,Cute Charm,Magic Guard,Friend Guard,fairy,NaN,50,25,28,45,55,15,3.0,0.3,6.6,1.0,150.0,2560.0,Star Shape Pokémon
255,Clefairy,Cute Charm,Magic Guard,Friend Guard,fairy,NaN,70,45,48,60,65,35,7.5,0.6,16.5,2.0,150.0,2560.0,Fairy Pokémon
256,Clefable,Cute Charm,Magic Guard,Unaware,fairy,NaN,95,70,73,95,90,60,40.0,1.3,88.2,4.25,25.0,2560.0,Fairy Pokémon
257,Togepi,Hustle,Serene Grace,Super Luck,fairy,NaN,35,20,65,40,65,20,1.5,0.3,3.3,1.0,190.0,2560.0,Spike Ball Pokémon
258,Togetic,Hustle,Serene Grace,Super Luck,fairy,flying,55,40,85,80,105,40,3.2,0.6,7.1,2.0,75.0,2560.0,Happiness Pokémon
259,Togekiss,Hustle,Serene Grace,Super Luck,fairy,flying,85,50,95,120,115,80,38.0,1.5,83.8,4.917,30.0,2560.0,Jubilee Pokémon
260,Munchlax,Pickup,Thick Fat,Gluttony,normal,NaN,135,85,40,40,85,5,105.0,0.6,231.5,2.0,50.0,10240.0,Big Eater Pokémon
261,Snorlax,Immunity,Thick Fat,Gluttony,normal,NaN,160,110,65,65,110,30,460.0,2.1,1014.1,6.917,25.0,10240.0,Sleeping Pokémon
262,Cottonee,Prankster,Infiltrator,Chlorophyll,grass,fairy,40,27,60,37,50,66,0.6,0.3,1.3,1.0,190.0,5120.0,Cotton Puff Pokémon
263,Whimsicott,Prankster,Infiltrator,Chlorophyll,grass,fairy,60,67,85,77,75,116,6.6,0.7,14.6,2.333,75.0,5120.0,Windveiled Pokémon
264,Rhyhorn,Lightning Rod,Rock Head,Reckless,ground,rock,80,85,95,30,30,25,115.0,1.0,253.5,3.25,120.0,5120.0,Spikes Pokémon
265,Rhydon,Lightning Rod,Rock Head,Reckless,ground,rock,105,130,120,45,45,40,120.0,1.9,264.6,6.25,60.0,5120.0,Drill Pokémon
266,Rhyperior,Lightning Rod,Solid Rock,Reckless,ground,rock,115,140,130,55,55,40,282.8,2.4,623.5,7.833,30.0,5120.0,Drill Pokémon
267,Gothita,Frisk,Competitive,Shadow Tag,psychic,NaN,45,30,50,55,65,45,5.8,0.4,12.8,1.333,200.0,5120.0,Fixation Pokémon
268,Gothorita,Frisk,Competitive,Shadow Tag,psychic,NaN,60,45,70,75,85,55,18.0,0.7,39.7,2.333,100.0,5120.0,Manipulate Pokémon
